review id,review title,review text,review rating,review do_recommend,review num_helpful,review date
8119,Easy to use,My 6 year old got it for Christmas and is able to use it very well,5,True,0,2016-12-27
87622,Great product,Great product as usually ... better screen and faster than my previous. Work with my chromecast .. easy to use,5,True,0,2016-12-27
56722,Great Product,I previously had a nook that died and tried the Fire and I was hooked. Great price and lots of things to do,5,True,0,2016-12-27
46422,GREAT VALUE,PICKED THIS TABLET UP ON BLACK FRIDAY. WHAT A GREAT DEAL. WORKS AWESOME AND HAS ALL OF THE AMAZON APPS.,5,True,0,2016-12-27
15522,Great Gift,Bought it for my dad who loves tech that his life easier the alexa integration is fantastic.,4,True,0,2016-12-28
95025,great tablet for a small price,bought two for the family and they connect easily and work surprisingly fast for a small price.,5,True,0,2016-12-28
84725,fire tablet,I use my fire hd8 to download books from the library. Easier to read than on my smartphone.,4,True,0,2016-12-28
64125,decent beginner tablet,I was looking for a easy to use tablet for a beginner and this met my needs .,5,True,0,2016-12-28
43525,I am impressed with the Kindle Fire HD.,The Kindle Fire HD is an impressive Product. It is faster than my Samsung tablet. I know I will enjoy using it. I just wish that Amazon Prime music had a downloadable app for it.,5,True,0,2016-12-27
22925,Nice pad,Enjoy the pad and its options. Its a great starter pad for kids.,4,True,0,2016-12-27
2325,great kindle for novices,if you had a kindle fire 1st. this one is mush better.with all the new stuff inside .,5,True,0,2016-12-27
61228,Perfect for My Dad,This was so easy to set up and the print can easily be adjusted to extra large. My 78 year old dad was really happy with his first experience with technology. He is now surfing the net and reading news online. Highly recommended.,5,True,0,2016-12-28
40628,Great product,I got 2 of these for my 8 and 9 year old daughters and I love them and so do they,5,True,0,2016-12-28
30328,GREAT PRODUCT,LOVE BEING ABLE TO MAKE SPECIFIC PROFILES FOR MY CHILDREN,5,True,0,2016-12-28
20028,Perfect tablet for books,We love the kindle fire HD8. it can have various profiles to accomodate all people who uses it in our family household. it is also very easy to set up,5,True,0,2016-12-28
58331,Kid loved it,This was purchased an a reward for a job well done. Set up was easy and the functionality was perfect for my needs.,5,True,0,2016-12-26
37731,Great tablet for the price,You cannot get a better tablet for the price and Best Buy had it on sale.,5,True,0,2016-12-26
27431,Amazon fire tablet,Daughter loves it. Everything transferred from her Kindle to the fire. She said it is unbelievable fast.,5,True,0,2016-12-26
17131,Great Product,This version is a really good upgrade over the older fire tablet that we had before. Very happy with it.,5,True,0,2016-12-26
6831,Great tablet,It is awesome play pokemon and clash use silk its awesome great present,5,True,0,2016-12-26
96634,Fire HD,I bought as a Christmas gift for my 9 year old and she loves it. It works great and my package arrived early with no issues.,5,True,0,2016-12-26
76034,Great Tablet,One of the best tablets on the market for its value,5,True,0,2016-12-26
45134,nice product,Does what I wanted it to do. Really like the way it performs.,5,True,0,2016-12-26
34834,App options pathetic,Does not let me connect with my library. Very diapointed,1,False,1,2016-12-26
14234,Awesome Tablet,I Love this tablet its Awesome and way Cool I highly recommend this to anyone Great price,5,True,0,2016-12-25
3934,Great QUALITY,great value for the pricing...black friday special,4,True,0,2016-12-25
73137,Kindle 8 16 GB,Bought it for my wife and the fire does not have to be recharged as often as the paper white. she likes it,5,True,0,2016-12-24
42237,Great tablet,A great alternative to the more expensive iPad. I prefer my paper white for reading but this is great for everything else.,4,True,0,2016-12-24
31937,Great gift idea,Great gift idea. Nice addition to the kindle family.,5,True,0,2016-12-25
21637,Awesome tablet,So far it does what I want. Very happy with the price too.,5,True,0,2016-12-25
90840,Great tablet for price,Everything I needed it for. Screen is nice enough and price was right.,5,True,0,2016-12-25
70240,Nice fire readers...2,Perfect for my wife and college daughter. Very easyTo learn reader.,5,True,1,2016-12-25
49640,Great value for price,Picture is great. Quick response when going from site to site. Sound is not so good but what I expected from a tablet.,4,True,0,2016-12-26
39340,great low cost tablet,very easy to set up and use. seems to be good quality,4,True,0,2016-12-26
98243,Love my kindle,I thought twice about getting this because of people saying you have limited apps but its not to limited so I am very happy. I was able to get google youtube Netflix and all the main apps I actually care about. For the price you cannot do any better. Love it so much we ended up getting my kids each one.,5,True,0,2016-12-26
77643,Awesome,Key to owning this tablet is having amazon prime account,5,True,0,2016-12-25
57043,Great bang for your buck,Bought two of these for my kids for Christmas. Love the level of control it gives me to supervise and monitor usage.,5,True,0,2016-12-25
46743,Great for the price,Best deal I have seen online. I checked Amazon and they were not as good.,5,True,0,2016-12-25
36443,Fire,We bought this as a gift for someone who travels often. She loves it and said the quality it as expected.,4,True,0,2016-12-25
5543,Amazon Fire,I bought 3 three of these for my boys for Christmas gifts. Great little tablet. Perfect for everything they want to use it for.,5,True,0,2016-12-25
95346,Tablet,Greatest small tablet. Just wanted something convenient.,5,True,0,2016-12-25
85046,My wife loves her Fire Hd8,My wife loves her Fire Hd8 she had one of the older models so i up graded her to this new model and she feel in love with it right away,5,True,0,2016-12-24
82149,Perfect step up,My daughter had a smaller eight GB tablet ... this was a nice step up for her and with better graphics. We extended the memory with an SD card for photos.,5,True,0,2016-12-24
51249,Good but could be better,This tablet works great and my daughter loves it. Only reason not 5 stars is because you cant access google play without rooting the tablet. Way to ruin android amazon.,4,True,0,2016-12-24
40949,cool device,i use the hd8 for my personal entertainment system,4,True,0,2016-12-24
10049,Christmas gifts,Christmas gifts for 2 granddaughters. They loved there first ones. time for a update,5,True,0,2016-12-24
48352,Good buy for a child or novice user,Most people will go with a bigger more sofisticated iPad or Samsung but this is a good product for a child to pass time or someone not wanting all the bells and whistles,5,True,0,2016-12-24
38052,Perfect,Perfect cheap device for kids and grandkids nice to have sitting around,5,True,0,2016-12-24
96955,Great tablet at a great price,Purchased the 8 inch Fire tablet during Black Friday and have been using it since. A great deal.,5,True,0,2016-12-24
66055,Like it a lot,I have not used it a ton yet but I am very happy with my experience so far.,5,True,0,2016-12-24
55755,Replacement for Nabi,This is great for an 8 yr old. She had out grown her Nabi and likes taking pictures this does just the trick. The memory can be extended to hold more pictures. Great tablet.,5,True,0,2016-12-24
24855,Love this tablet.,Black Friday deal. Great alternative for my 2 IPads.,5,True,0,2016-12-24
4255,Love the camera,First time user and very pleased. Great for me because of my book downloads. Not too big and not too small.,4,True,0,2016-12-24
83758,Great tablet,Great value for such a well made tablet. Everything you need for a low price,5,True,0,2016-12-24
73458,Great tablet for the price.,I purchased this tablet and am very happy with it.,4,True,0,2016-12-23
63158,Great Christmas Gift,We bought this Fire HD to replace an older model and the kids love it. Ease of use and the integration with Amazon Prime makes the product worth every moment. It is mostly used to watch movies and play some games so it works well for what is needed. Great for the price but if you need more options as far as productivity goes you may want to stick with an iPad or Galaxy Tab.,4,True,0,2016-12-23
70561,love it,Great quality and decent price. Love features and the fact that I can mirror my tablet on my tv with firestick.,5,True,0,2016-12-23
8761,good for price,It works well for what I needed. I purchased for great price on black Friday.,4,True,0,2016-12-23
67664,Amazon Fire Hd8,Nice tablet for media consumption for the price. For Amazon user for sure,4,True,0,2016-12-23
47064,Just what she wanted,This tablet does everything it said it would. Works great.,4,True,0,2016-12-23
75067,Awesome product,Very user friendly and straight forward instructions great for all ages,5,True,0,2016-12-24
64767,great buy and easy to use,I had a smaller version and this was easy to adjust to and use.,5,True,0,2016-12-23
54467,Makes a great Christmas present,Really affordable present for a kid.. Or just have around,5,True,0,2016-12-23
72170,Very good,Love my Kendal but cannot find a case or screen saver for it.,4,True,0,2016-12-23
20670,good,It is good. Some apps are not available. Easy to use.,4,True,0,2016-12-23
69273,Excellent,Very good for kids to learn and play games and research school work.,5,True,0,2016-12-23
28073,So Far So Good,Pretty happy with this so far. Like the fact that you can add memory.,4,True,0,2016-12-23
86976,excellent value,Picked this up during Black Friday and for the price is a great starter tablet for my kids,4,True,0,2016-12-23
76676,Great picture,Our tablet is fast and works very well. I am pleased with the amount of apps that Amazon offers.,4,True,0,2016-12-23
45776,Great table,Great table I pay cheap price is gift for my son my son is happy,5,True,0,2016-12-23
4576,Great value,The Amazon tablet line is possibly one of the best our there. The functionalities of android and windows with the ease of use equal to an Ipad,5,True,0,2016-12-23
94379,Great tablet for the money.,Tmtis is the second tablet I purchased for my kids. Its perfect for all the things my kids do.,5,True,0,2016-12-23
11979,Christmas Purchase,Works great. Easy conversion for an aging guy without much technological experience.,5,True,0,2016-12-23
81182,Great Tablet,Great beginner tablet for all ages. Easy to use by all ages.,5,False,0,2016-12-23
98885,Perfect size tablet and easy to set up.,Easy to set up. Perfect size. Easy to read font. Price was affordable. Great gift idea for the adults on my Christmas list.,5,True,0,2016-12-23
57685,Nice set of headphones,Very nice at a great price. Love Bose products. Highly recommend.,5,True,0,2016-12-23
26785,Great for the price,I was looking for at replacement tablet and this is exactly what I needed,4,True,0,2016-12-23
6185,Perfect,Does everything I need thank you. Alight small package easy to take anywhere,3,True,0,2016-12-23
85688,Kindle,This is really nice and has great clarity I like it.,5,True,0,2016-12-23
75388,kindle fire hd8 2016,outstanding replacement tablet for my outdated and overpriced iPad 2,5,True,0,2016-12-23
65088,Good,I use it everyday after work for down time.........,4,True,0,2016-12-23
54788,Great size,I brought it for my grandmother and she really loves it.,4,True,0,2016-12-23
23888,Great for a beginner,I wanted something for games and reading so I thought this was a great deal. I have enjoyed it so much. Passes a lot of time for me. Easy to download on too.,4,True,0,2016-12-23
93091,Great Buy,Love the kindles. This was a gift and a great value. I have one myself.,4,True,0,2016-12-23
82791,Good tablet,Great tablet for my son. Live the endless library of downloadable books.,5,True,0,2016-12-23
41591,Great gift,Gift for my mom and she absolutely loves it. It was exactly what she wanted.,5,True,0,2016-12-23
10691,Great Tablet,I bought this on Black Friday and I have been using it for about a month. It is faster than my Fire 7 2015 most likely due to the 1.5GB vs 1GB RAM. The screen resolution is fine though not the best. At this price I am not complaining. Amazon adds some nice features as well. The advertisements are discreet and only when the fire is turned on. Not a problem at all. Even at full price this is a good deal.,5,True,0,2016-12-22
59294,Fire hd,We got a great deal on Fire HD 8. My kids love playing on it.,5,True,0,2016-12-20
48994,Good price.,This is a pretty reliable tablet especially for the price.,4,True,0,2016-12-20
28394,Works great,I just like reading amd playing games on it..Better then those bulky computers,5,True,0,2016-12-19
18094,Christmas gift for hubby.,I have an Amazon fire tablet and love it so hopefully he will also. Pretty easy to use as your first tablet.,5,True,0,2016-12-19
87297,Worlks as advertised,Allows for reading of my Kindle lib and even plays a few games,4,True,0,2016-12-18
76997,Nice 8 tablet,This tablet is easy to use and great for a new user.,4,True,0,2016-12-18
66697,amazon,its the best tablet that you can buy for the price and you can add a memory card to it.,5,True,0,2016-12-18
35797,Very user friendly for beginner,Like that downloading books is fast. I am still learning features and have not explored other positives featured.,4,True,0,2016-12-18
15197,great tablet,does everything our other tablets do and more. Like the sharing across platforms.,5,True,0,2016-12-18
94700,Purchased as a gift,I read the online reviews and compared products. Same price here as on Amazon.,5,True,0,2016-12-17
74100,Great tablet for the price,This is a great product. Very inexpensive and a great gift for children.,5,True,0,2016-12-17
63800,nice and lightweight,Replaced a Nook with the fire tablet. Disappointed that I cannot use Chromecast from it. Did not realize I would be tied to amazon. But it is a good tablet so far,4,True,0,2016-12-17
12300,Best gift for Beginers,Best gift for Beginers. Less Price and enough speed and memory. Kids like it a lot.,3,True,0,2016-12-17
2000,soso,works great for the price.but it shoves amazon stuff down your hroat like the fire tv.and is linked to your amazon 1 click buy if you haveit set up that way.,3,False,0,2016-12-16
91803,Love my kindle.,I was a ook user and have been converted to kindle. The size is great and it is very responsive. Got one for me and one as a gift.,5,True,0,2016-12-15
71203,Awesome tablet for my nephew,My nephew is 3 years old and this is a great starter tablet. He is gonna be so excited Christmas morning.,5,True,0,2016-12-16
40303,I am a Kindle lover.,This is a new tab upgrade for me as I have had my previous Kindle for over 7 years and love it.,5,True,0,2016-12-16
30003,No complaints here,Have been very pleased with all aspects of the Fire HD8. Good performance for the low price.,5,True,0,2016-12-16
19703,super item,This was a gift for my wife. She loves it. She uses it everyday. Holds a great charge.,5,True,0,2016-12-16
99206,Not bad,Nice tablet for the price. Just wish it had bluetooth.,3,True,0,2016-12-15
78606,perfect,awesome gift and perfect for kids or older adults easy to use,5,True,0,2016-12-15
58006,exactly what I was looking for,exactly what I was looking for. My old tablet stopped working so the value of the Amazon Fire at Best Buy was too much to pass up,5,True,0,2016-12-15
47706,Great tablet,Bought as a gift for my daughter. and s he loves it.,5,True,0,2016-12-15
96309,Great tablet,I already own one but bought another for my sister in law for Christmas.,5,True,0,2016-12-15
86009,Well worth the price.,I have really enjoyed it so far. While not perfect by any means it is certainly worth the price.,4,True,0,2016-12-15
75709,Great Value,Works better than what I expected. Able to surf the net and watch movies. The battery life and screen are awesome. Bought this for under 60 bucks and looking to buy more to give as a gift,5,True,0,2016-12-15
83112,Great tablet for the money,I truly enjoy this product. I have an older one but this is superb in all areas of entertainment.,5,True,0,2016-12-14
